"from","to","weight","hourdiff","is_duplicate"
"187453526","187453626",0.5277,0,"from"
"187453527","187453692",1,0,"from"
"187453533","187453562",1,0,"from"
"187453539","187453547",1,0,"both"
"187453539","187453559",1,0,"from"
"187453544","187421281",0.4074,-24,"from"
"187453544","187453610",0.4174,0,"from"
"187453544","187461412",0.5056,24,"both"
"187453545","187453653",1,0,"from"
"187453546","187453581",1,0,"from"
"187453547","187453539",1,0,"both"
"187453547","187453559",1,0,"from"
"187453552","187453707",1,0,"from"
"187453555","187453556",1,0,"from"
"187453556","187453555",1,0,"to"
"187453559","187453539",1,0,"to"
"187453559","187453547",1,0,"to"
"187453562","187453533",1,0,"to"
"187453568","187421356",0.4314,-24,"from"
"187453569","187453589",1,0,"from"
"187453571","187421262",0.4096,-24,"from"
"187453575","187461359",0.4161,24,"to"
"187453576","187453687",0.4214,0,"from"
"187453577","187453686",1,0,"from"
"187453581","187453546",1,0,"to"
"187453585","187453597",1,0,"from"
"187453587","187453659",0.4832,0,"from"
"187453588","187461383",0.401,24,"to"
"187453589","187453569",1,0,"to"
"187453597","187453585",1,0,"to"
"187453599","187453637",1,0,"from"
"187453601","187453635",1,0,"from"
"187453610","187453544",0.4174,0,"to"
"187453610","187461142",0.6468,24,"to"
"187453616","187453683",1,0,"from"
"187453620","187453659",0.6444,0,"from"
"187453624","187453526",0.5277,0,"both"
"187453624","187453626",1,0,"from"
"187453626","187453526",0.5277,0,"to"
"187453626","187453624",1,0,"to"
"187453635","187453601",1,0,"to"
"187453637","187453599",1,0,"to"
"187453645","187453690",1,0,"from"
"187453653","187453545",1,0,"to"
"187453656","187421346",0.4175,-24,"from"
"187453659","187453587",0.4832,0,"to"
"187453659","187453620",0.6444,0,"to"
"187453659","187461181",0.4693,24,"to"
"187453662","187453517",1,0,"to"
"187453667","187453523",1,0,"to"
"187453668","187421321",0.4631,-24,"both"
"187453668","187461141",0.4707,24,"both"
"187453671","187453694",1,0,"from"
"187453672","187453525",0.4298,0,"both"
"187453672","187453706",0.4298,0,"from"
"187453676","187421369",0.6299,-24,"both"
"187453683","187453616",1,0,"to"
"187453686","187453577",1,0,"to"
"187453687","187453576",0.4214,0,"to"
"187453690","187453645",1,0,"to"
"187453692","187453527",1,0,"to"
"187453694","187453671",1,0,"to"
"187453697","187453698",0.4969,0,"from"
"187453697","187461262",0.5403,24,"both"
"187453698","187453697",0.4969,0,"to"
"187453698","187461262",0.4604,24,"to"
"187453703","187421321",0.4024,-24,"both"
"187453706","187453525",1,0,"to"
"187453706","187453672",0.4298,0,"to"
"187453706","187461237",0.4265,24,"to"
"187453707","187453552",1,0,"to"
"187459418","187426343",1,-24,"both"
"187459418","187461571",1,24,"both"
"187459425","187459437",1,0,"from"
"187459427","187459491",1,0,"from"
"187459429","187461576",0.4346,24,"to"
"187459432","187459473",1,0,"from"
"187459434","187459442",1,0,"both"
"187459434","187459465",1,0,"from"
"187459437","187459425",1,0,"to"
"187459442","187459434",1,0,"both"
"187459442","187459465",1,0,"from"
"187459444","187459448",1,0,"both"
"187459444","187459503",1,0,"from"
"187459448","187459444",1,0,"both"
"187459448","187459503",1,0,"from"
"187459450","187459459",1,0,"from"
"187459456","187426293",1,-24,"both"
"187459456","187461611",1,24,"both"
"187459457","187459472",1,0,"from"
"187459459","187459450",1,0,"to"
"187459460","187459461",1,0,"from"
"187459461","187459460",1,0,"to"
"187459463","187426311",0.4598,-24,"both"
"187459463","187426314",0.4204,-24,"both"
"187459463","187426340",0.4169,-24,"from"
"187459463","187426346",0.4753,-24,"from"
"187459463","187459476",0.4133,0,"both"
"187459463","187461543",0.6497,24,"both"
"187459465","187459434",1,0,"to"
"187459465","187459442",1,0,"to"
"187459471","187426339",0.8002,-24,"both"
"187459471","187461627",0.7856,24,"both"
"187459472","187459457",1,0,"to"
"187459473","187459432",1,0,"to"
"187459476","187426311",0.477,-24,"both"
"187459476","187426314",0.4877,-24,"both"
"187459476","187426340",0.4442,-24,"from"
"187459476","187459463",0.4133,0,"both"
"187459476","187461543",0.4409,24,"both"
"187459477","187461626",0.586,24,"to"
"187459482","187459486",1,0,"from"
"187459483","187426282",1,-24,"both"
"187459483","187461590",1,24,"both"
"187459485","187426334",0.6445,-24,"both"
"187459485","187461604",0.4997,24,"both"
"187459486","187459482",1,0,"to"
"187459490","187459494",1,0,"from"
"187459491","187459427",1,0,"to"
"187459494","187459490",1,0,"to"
"187459503","187459444",1,0,"to"
"187459503","187459448",1,0,"to"
"187461139","187461330",1,0,"from"
"187461141","187453668",0.4707,-24,"both"
"187461142","187453610",0.6468,-24,"from"
"187461144","187461164",1,0,"both"
"187461144","187461353",1,0,"both"
"187461144","187461356",1,0,"from"
"187461146","187463313",0.4158,24,"to"
"187461147","187461338",1,0,"from"
"187461148","187461391",1,0,"from"
"187461149","187463206",0.5293,24,"to"
"187461158","187453447",0.5637,-24,"from"
"187461161","187453468",0.4879,-24,"both"
"187461161","187463226",0.7243,24,"both"
"187461161","187463262",0.4654,24,"both"
"187461161","187463279",0.7243,24,"both"
"187461164","187461144",1,0,"both"
"187461164","187461353",1,0,"both"
"187461164","187461356",1,0,"from"
"187461172","187453522",0.4835,-24,"from"
"187461179","187461318",0.416,0,"from"
"187461180","187463258",0.5405,24,"to"
"187461181","187453659",0.4693,-24,"from"
"187461186","187461365",1,0,"from"
"187461189","187461199",1,0,"from"
"187461191","187461231",0.4167,0,"to"
"187461191","187463194",0.4951,24,"to"
"187461191","187463207",0.4016,24,"to"
"187461191","187463216",0.5859,24,"to"
"187461191","187463217",0.5859,24,"to"
"187461191","187463225",0.4016,24,"to"
"187461194","187461224",1,0,"from"
"187461199","187461189",1,0,"to"
"187461202","187461347",1,0,"from"
"187461203","187461329",1,0,"from"
"187461220","187461274",1,0,"from"
